region,codigo,departamento,lat,lon,poblacion,preescolar,primaria,secundaria,media,extraedad,estudiantes,norm_sup,licenciado,posgrado,profesional,tecnologo,docentes,year,pep,epd
Andina,5,ANTIOQUIA,6.2518401,-75.563591,6342662,107505,585622,386515,129819,95680,1305141,1203,8164,3644,1987,274,15272,2014,0.205771803700087,85.4597302252488
Caribe,8,ATLANTICO,10.9685402,-74.7813187,2396071,59830,222370,162695,58048,20096,523039,2188,10032,4312,1330,744,18606,2014,0.218290276039399,28.1113081801569
Andina,11,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,7745805,169077,555004,459144,183052,45638,1411915,416,9237,3979,2112,452,16196,2014,0.18228124772054,87.1767720424796
Caribe,13,BOLIVAR,10.3997202,-75.5144424,2036714,53346,211406,142875,47695,24559,479881,473,3852,1173,822,232,6552,2014,0.235615309758758,73.2419108669109
Andina,15,BOYACA,5.5352802,-73.3677826,1238748,24956,110216,90797,34434,10223,270626,164,1659,1469,501,20,3813,2014,0.218467355749515,70.9745607133491
Andina,17,CALDAS,5.0688901,-75.5173798,949411,16801,76902,56594,21366,11344,183007,154,1220,817,352,37,2580,2014,0.192758457612141,70.9329457364341
Amazonia,18,CAQUETA,1.61438,-75.6062317,434546,5618,31863,11160,2231,3635,54507,120,382,417,94,16,1029,2014,0.125434361379463,52.9708454810496
Pacifico,19,CAUCA,2.43823,-76.6131592,1329932,23520,142315,91647,30476,13519,301477,414,2275,1571,873,181,5314,2014,0.22668602605246,56.7325931501694
Caribe,20,CESAR,10.4631395,-73.2532196,980311,31970,130480,82554,24820,11380,281204,258,1902,831,301,83,3375,2014,0.286851825594123,83.3197037037037
Caribe,23,CORDOBA,8.7479801,-75.8814316,1646438,42246,188512,121719,39237,12442,404156,455,3397,1664,510,88,6114,2014,0.245472954341433,66.1033693163232
Andina,25,CUNDINAMARCA,4.3007898,-74.8075409,2601598,61644,246684,192325,69078,24401,594132,337,3978,1856,1213,251,7635,2014,0.228371946780402,77.8168958742633
Pacifico,27,CHOCO,5.6918802,-76.6583481,458508,9963,68082,29911,8269,2182,118407,174,985,382,82,19,1642,2014,0.258244130963909,72.1114494518879
Andina,41,HUILA,2.9273,-752.818909,1103394,22680,117508,82484,25545,21200,269417,198,1731,1242,354,33,3558,2014,0.244171166419248,75.721472737493
Caribe,44,LA GUAJIRA,11.533,-72.9,891538,26350,118004,51772,13658,9914,219698,214,982,437,280,57,1970,2014,0.246425839392152,111.521827411168
Caribe,47,MAGDALENA,11.2407904,-74.1990433,1211032,41265,156152,100819,30836,20944,350016,391,2300,833,402,137,4063,2014,0.289022915992311,86.1471818853064
Orinoquia,50,META,4.1420002,-73.6266403,905932,21779,99450,65271,20353,14710,221563,199,1349,832,245,71,2696,2014,0.244569128808785,82.1821216617211
Pacifico,52,NARIÑO,1.2136101,-77.2811127,1686309,26952,158561,102167,34085,18674,340439,283,1793,2093,494,80,4743,2014,0.201884114951649,71.7771452667088
Andina,54,NORTE DE SANTANDER,7.8939099,-72.5078201,1307465,31230,141500,89301,29913,10498,302442,208,1576,1570,281,37,3672,2014,0.231319385222549,82.3643790849673
Andina,63,QUINDIO,4.5338898,75.6811066,525297,8171,41852,36292,13032,8397,107744,65,751,385,147,11,1359,2014,0.205110632651624,79.2818248712289
Andina,66,RISARALDA,4.8133302,-75.6961136,909614,17746,78067,59060,19649,16141,190663,117,1256,773,305,34,2485,2014,0.209608691159107,76.7255533199195
Andina,68,SANTANDER,7.1253901,-73.1197968,2014121,45372,185207,134688,48302,23262,436831,243,2568,1979,809,101,5700,2014,0.216884189182278,76.6370175438597
Caribe,70,SUCRE,9.3047199,-75.3977814,2014121,27484,101420,64224,22405,10010,225543,271,1555,927,179,35,2967,2014,0.111980859144014,76.0171890798787
Andina,73,TOLIMA,4.43889,-75.2322235,1367567,26664,134826,95031,32467,15035,304023,281,1786,1510,533,103,4213,2014,0.22230940056319,72.1630666983147
Pacifico,76,VALLE DEL CAUCA,3.4372201,-76.5224991,4529901,91653,390856,264157,92368,65053,904087,807,5402,2084,1622,476,10391,2014,0.199582065921529,87.0067365989799
Orinoquia,81,ARAUCA,7.0847101,-70.759079,222550,5741,29169,17142,5029,3381,60462,48,320,325,64,12,769,2014,0.271678274545046,78.6241872561769
Orinoquia,85,CASANARE,5.33775,-72.3958588,313338,9059,45864,30532,10049,6032,101536,92,715,349,113,19,1288,2014,0.324046237609227,78.832298136646
Amazonia,86,PUTUMAYO,1.15284,-76.6520767,304571,6369,38423,25867,7278,6125,84062,150,594,449,146,28,1367,2014,0.2760013264559,61.4937820043892
Amazonia,91,AMAZONAS,-4.2152801,-69.9405594,38611,2223,10403,5913,1798,1019,21356,60,164,52,30,8,314,2014,0.553106627644972,68.0127388535032
Amazonia,94,GUAINIA,3.8652799,-67.9238892,4047,1140,5512,2540,510,438,10140,25,101,41,22,0,189,2014,2.50555967383247,53.6507936507937
Amazonía,95,GUAVIARE,2.57286,-72.6459122,72697,1896,8833,4374,1177,926,17206,67,190,61,24,6,348,2014,0.23668101847394,49.4425287356322
Amazonia,97,VAUPES,1.25778,-70.2347183,6454,445,5237,2445,618,482,9227,29,73,33,9,4,148,2014,1.42965602726991,62.3445945945946
Orinoquia,99,VICHADA,6.1890302,-67.485878,33445,1626,11254,4351,1140,0,18371,38,78,50,13,5,184,2014,0.549289878905666,99.8423913043478
Insular,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12.5847197,-81.7005615,39035,1321,4913,3860,1389,365,11848,3,43,42,12,14,114,2014,0.303522479825797,103.929824561404
Andina,5,ANTIOQUIA,6.2518401,-75.563591,6401417,108220,563158,391324,130521,107567,1300790,3905,25976,13166,4017,672,47736,2015,0.203203446986816,27.2496648231942
Caribe,8,ATLANTICO,10.9685402,-74.7813187,2405977,59445,221975,162095,58587,16279,518381,2154,10380,4345,1237,633,18749,2015,0.215455509341943,27.6484612512667
Andina,11,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,7823897,168194,552766,448652,181421,46719,1397752,2197,32725,15324,4700,1972,56918,2015,0.17865163613478,24.5572929477494
Caribe,13,BOLIVAR,10.3997202,-75.5144424,2042277,49098,203280,138403,46422,21170,458373,1858,10629,3063,1453,432,17435,2015,0.224442130034271,26.2903928878692
Andina,15,BOYACA,5.5352802,-73.3677826,1221527,24530,109132,89544,34017,11180,268403,535,5906,5999,940,177,13557,2015,0.219727439508091,19.7981116766246
Andina,17,CALDAS,5.0688901,-75.5173798,933107,16226,72186,57976,21920,11156,179464,642,3599,3256,698,172,8367,2015,0.192329497045891,21.4490259352217
Amazonia,18,CAQUETA,1.61438,-75.6062317,422757,5499,29960,11624,2326,4616,54025,348,1325,1020,192,51,2936,2015,0.127792088599361,18.4008855585831
Pacifico,19,CAUCA,2.43823,-76.6131592,1924287,24867,141742,93038,30783,14117,304547,1190,6901,5125,1457,355,15028,2015,0.158264853423632,20.2653047644397
Caribe,20,CESAR,10.4631395,-73.2532196,974007,32285,135938,82445,24970,12024,287662,1127,5502,3084,619,275,10607,2015,0.295338739865319,27.1200150843782
Caribe,23,CORDOBA,8.7479801,-75.8814316,1654757,40448,192043,128380,41260,18249,420380,1364,9388,5110,910,218,16990,2015,0.254043342919837,24.7427898763979
Andina,25,CUNDINAMARCA,4.3007898,-74.8075409,2625157,59315,249170,191977,70593,25748,596803,1688,14782,6256,2380,836,25942,2015,0.227339926716764,23.0052810114872
Pacifico,27,CHOCO,5.6918802,-76.6583481,446794,11261,72821,32566,9068,1401,127117,484,3125,1349,267,65,5290,2015,0.284509192155669,24.0296786389414
Andina,41,HUILA,2.9273,-752.818909,1099897,22433,116028,81427,24891,21612,266391,902,5293,4338,760,142,11435,2015,0.242196314745835,23.2961084390031
Caribe,44,LA GUAJIRA,11.533,-72.9,902917,25841,116411,54882,13364,8336,218834,1005,4090,1544,611,267,7517,2015,0.242363362302404,29.1118797392577
Caribe,47,MAGDALENA,11.2407904,-74.1990433,1204937,41086,146986,96742,29625,21049,335488,1435,7234,2848,924,339,12780,2015,0.27842783481626,26.2510172143975
Orinoquia,50,META,4.1420002,-73.6266403,906447,22948,103063,70377,21826,13472,231686,944,4471,2814,631,216,9076,2015,0.25559795553408,25.5273248126928
Pacifico,52,NARIÑO,1.2136101,-77.2811127,1689347,26224,152033,103620,33863,18782,334522,1010,6113,6452,1063,208,14846,2015,0.198018524317384,22.5328034487404
Andina,54,NORTE DE SANTANDER,7.8939099,-72.5078201,1300907,30670,141380,91141,30138,17701,311030,873,6020,4624,761,283,12561,2015,0.239087036967285,24.7615635697795
Andina,63,QUINDIO,4.5338898,75.6811066,510427,7948,39305,34861,13229,8495,103838,265,2357,1327,281,41,4271,2015,0.203433595793326,24.312339030672
Andina,66,RISARALDA,4.8133302,-75.6961136,897067,17227,76188,58970,19915,15919,188219,446,4147,2424,723,105,7845,2015,0.209815989218197,23.9922243467177
Andina,68,SANTANDER,7.1253901,-73.1197968,2006197,46367,186964,136655,47570,24149,441705,1403,8960,7683,1687,480,20213,2015,0.220170302318267,21.852520655024
Caribe,70,SUCRE,9.3047199,-75.3977814,2006197,25663,97987,65181,23642,11423,223896,821,4166,2972,389,117,8465,2015,0.111602200581498,26.4496160661548
Andina,73,TOLIMA,4.43889,-75.2322235,1353387,26300,130892,93713,32643,17336,300884,842,5728,5528,1087,332,13517,2015,0.22231926270904,22.2596730043649
Pacifico,76,VALLE DEL CAUCA,3.4372201,-76.5224991,4558797,85062,376886,271538,94727,63131,891344,4168,17513,7566,2978,1273,33498,2015,0.195521757165322,26.6088721714729
Orinoquia,81,ARAUCA,7.0847101,-70.759079,207437,5972,29328,17539,5238,3661,61738,178,1012,1207,118,40,2555,2015,0.297622892733697,24.1636007827789
Orinoquia,85,CASANARE,5.33775,-72.3958588,301597,9540,44786,30998,10205,6164,101693,291,2301,1482,222,74,4370,2015,0.337181735892598,23.270709382151
Amazonia,86,PUTUMAYO,1.15284,-76.6520767,290317,6302,37606,26290,7427,5921,83546,328,1670,1840,270,39,4147,2015,0.287775087232232,20.1461297323366
Amazonia,91,AMAZONAS,-4.2152801,-69.9405594,21357,1871,9588,5719,1815,1143,20136,158,326,96,57,8,645,2015,0.942829049023739,31.2186046511628
Amazonia,94,GUAINIA,3.8652799,-67.9238892,13403,1139,5503,2782,467,642,10533,61,286,100,16,1,464,2015,0.785868835335373,22.7004310344828
Amazonia,95,GUAVIARE,2.57286,-72.6459122,56177,1624,9127,5648,1410,576,18385,90,557,211,48,8,914,2015,0.327269167096855,20.1148796498906
Amazonia,97,VAUPES,1.25778,-70.2347183,11213,520,5398,2488,681,431,9518,66,237,119,43,6,471,2015,0.848836172300009,20.208067940552
Orinoquia,99,VICHADA,6.1890302,-67.485878,17087,1572,11661,4183,1142,102,18660,91,317,282,38,7,735,2015,1.09205828992802,25.3877551020408
Insular,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12.5847197,-81.7005615,21557,1335,5029,3730,1447,336,11877,23,294,92,56,24,489,2015,0.550957925499838,24.2883435582822
Andina,5,ANTIOQUIA,6.2518401,-75.563591,6479442,103075,546661,389851,131026,109841,1280454,4016,26022,11876,4139,605,46658,2016,0.197617943026575,27.4433966308029
Caribe,8,ATLANTICO,10.9685402,-74.7813187,2434181,59002,220280,161796,60007,20638,521723,2209,11491,4374,1551,632,20257,2016,0.214332048438469,25.7551957348077
Andina,11,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,7923862,164146,536475,428402,178168,54452,1361643,1872,34084,17991,5231,1757,60935,2016,0.17184082711183,22.3458275211291
Caribe,13,BOLIVAR,10.3997202,-75.5144424,2066718,52955,220638,149732,50731,26064,500120,2228,12589,3447,1737,448,20449,2016,0.241987537728902,24.4569416597389
Andina,15,BOYACA,5.5352802,-73.3677826,1223218,23695,106893,87587,35009,18604,271788,310,5392,6152,771,135,12760,2016,0.222190974952952,21.3
Andina,17,CALDAS,5.0688901,-75.5173798,934987,13572,69624,55599,20826,11186,170807,585,3180,3288,590,126,7769,2016,0.182683823411449,21.9857124469044
Amazonia,18,CAQUETA,1.61438,-75.6062317,428823,5583,26750,9895,2143,5327,49698,440,1228,480,149,48,2345,2016,0.115893970239469,21.1931769722814
Pacifico,19,CAUCA,2.43823,-76.6131592,1942004,24922,137780,92225,31515,15556,301998,1036,6270,4509,1627,365,13807,2016,0.155508433556265,21.8728181357283
Caribe,20,CESAR,10.4631395,-73.2532196,986155,30837,129272,82102,25786,14531,282528,1197,5522,2946,656,270,10591,2016,0.286494516582079,26.6762345387593
Caribe,23,CORDOBA,8.7479801,-75.8814316,1681161,40386,190018,127704,43461,21154,422723,1663,9985,5227,909,184,17968,2016,0.251447065450602,23.5264358860196
Andina,25,CUNDINAMARCA,4.3007898,-74.8075409,2666066,56991,245646,189204,70019,33761,595621,1488,15518,6069,2532,758,26365,2016,0.223408197696531,22.5913521714394
Pacifico,27,CHOCO,5.6918802,-76.6583481,451664,11609,77220,34251,10012,10004,143096,399,4186,671,62,57,5375,2016,0.316819582698643,26.622511627907
Andina,41,HUILA,2.9273,-752.818909,1113774,22676,113597,78066,24480,20615,259434,792,5668,3894,758,67,11179,2016,0.232932354319638,23.2072636192862
Caribe,44,LA GUAJIRA,11.533,-72.9,930023,26111,114721,56573,13982,9162,220549,1098,3926,1262,775,243,7304,2016,0.237143597523932,30.1956462212486
Caribe,47,MAGDALENA,11.2407904,-74.1990433,1217565,40458,146746,100281,31226,23485,342196,1562,8202,2484,1067,322,13637,2016,0.28104947169145,25.0932023172252
Orinoquia,50,META,4.1420002,-73.6266403,924616,21936,99078,68208,21823,12423,223468,989,4592,2561,597,236,8975,2016,0.241687359941857,24.8989415041783
Pacifico,52,NARIÑO,1.2136101,-77.2811127,1710705,25310,143838,103458,33503,17025,323134,669,4885,7659,827,143,14183,2016,0.18888937601749,22.7831911443277
Andina,54,NORTE DE SANTANDER,7.8939099,-72.5078201,1312607,30182,140520,88657,29474,20612,309445,886,5724,5336,571,305,12822,2016,0.235748399939967,24.1339104663859
Andina,63,QUINDIO,4.5338898,75.6811066,513553,7941,37746,32636,12981,7147,98451,255,2186,1544,290,15,4290,2016,0.191705627267293,22.948951048951
Andina,66,RISARALDA,4.8133302,-75.6961136,902207,17615,74161,55739,19906,15296,182717,379,4068,2256,759,77,7539,2016,0.202522259304129,24.2362382278817
Andina,68,SANTANDER,7.1253901,-73.1197968,2015994,45977,182150,134577,48518,25624,436846,1326,8922,7305,2034,472,20059,2016,0.216690129038082,21.7780547385214
Caribe,70,SUCRE,9.3047199,-75.3977814,2015994,26055,98387,65900,23437,10773,224552,802,4444,3705,372,112,9435,2016,0.111385252138647,23.7998940116587
Andina,73,TOLIMA,4.43889,-75.2322235,1357234,25878,126924,90636,32498,16567,292503,791,5641,5611,949,288,13280,2016,0.215514052845714,22.025828313253
Pacifico,76,VALLE DEL CAUCA,3.4372201,-76.5224991,4605761,79216,349786,263336,92719,64306,849363,3911,17963,6795,3437,1475,33581,2016,0.184413172980535,25.2929632828087
Orinoquia,81,ARAUCA,7.0847101,-70.759079,210174,5923,29600,17489,5339,4391,62742,148,1109,1034,119,25,2435,2016,0.29852408004796,25.7667351129363
Orinoquia,85,CASANARE,5.33775,-72.3958588,307704,9189,43570,29734,10202,6228,98923,310,2425,1201,229,69,4234,2016,0.321487533473728,23.363958431743
Amazonia,86,PUTUMAYO,1.15284,-76.6520767,294640,5952,36388,25643,8087,5409,81479,379,1440,1469,226,24,3538,2016,0.276537469454249,23.0296777840588
Amazonia,91,AMAZONAS,-4.2152801,-69.9405594,22107,1719,8066,6097,1944,957,18783,170,332,106,50,11,669,2016,0.84964038539829,28.0762331838565
Amazonia,94,GUAINIA,3.8652799,-67.9238892,12856,1239,5732,2831,493,768,11063,63,248,55,25,4,395,2016,0.860532047293093,28.0075949367089
Amazonia,95,GUAVIARE,2.57286,-72.6459122,57680,1249,7651,5360,1672,757,16689,69,383,136,61,14,663,2016,0.289337725381415,25.1719457013575
Amazonia,97,VAUPES,1.25778,-70.2347183,10894,534,5137,2670,720,502,9563,109,176,73,4,0,362,2016,0.877822654672297,26.4171270718232
Orinoquia,99,VICHADA,6.1890302,-67.485878,18718,1652,11647,4432,1165,103,18999,148,249,95,11,7,510,2016,1.01501228763757,37.2529411764706
Insular,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12.5847197,-81.7005615,22119,1239,5059,3658,1364,280,11600,14,273,113,62,30,492,2016,0.52443600524436,23.5772357723577
Andina,5,ANTIOQUIA,6.2518401,-75.563591,6576362,103934,528768,388705,129506,104491,1255404,3203,23169,9994,3621,514,40501,2017,0.190896425713791,30.9968642749562
Caribe,8,ATLANTICO,10.9685402,-74.7813187,2481162,60782,225564,165333,62505,23507,537691,1847,8675,3184,934,395,15035,2017,0.216709348281168,35.7626205520452
Andina,11,SANTAFE DE BOGOTA D.C,4.6097102,-74.081749,8043962,158928,531232,420080,175343,55115,1340698,1613,31798,17019,4481,1501,56412,2017,0.166671349267935,23.7661844997518
Caribe,13,BOLIVAR,10.3997202,-75.5144424,2109962,54162,217933,151729,51424,26254,501502,1204,8040,2516,971,212,12943,2017,0.237682953531865,38.7469674727652
Andina,15,BOYACA,5.5352802,-73.3677826,1243222,23442,105558,85575,34732,17018,266325,144,3010,4096,411,80,7741,2017,0.214221595177691,34.4044697067562
Andina,17,CALDAS,5.0688901,-75.5173798,955122,13033,65492,55353,20351,10260,164489,290,1647,1772,343,59,4111,2017,0.172217789978662,40.0119192410606
Amazonia,18,CAQUETA,1.61438,-75.6062317,453353,5656,27301,10900,2380,5395,51632,149,507,247,60,23,986,2017,0.113889176866592,52.3651115618661
Pacifico,19,CAUCA,2.43823,-76.6131592,1367472,25198,132490,88991,29729,25635,302043,571,3728,2897,1088,203,8487,2017,0.220876917406718,35.5889006716154
